epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.968,1.88431,3.84837,3.51084,1.9039,0.00498,0.38371,0.01678,0.00653,0.00546,0.4093,0.01728,0.0069,2.33558,6.18846,4.04162,2.24389,0.00040625,0.00040625,0.00040625
2,274.914,1.84871,1.3485,3.20425,1.88529,0.26466,0.19821,0.02885,0.01076,0.26399,0.18929,0.02701,0.01136,2.32613,0.88314,4.62431,2.35323,0.00081477,0.00081477,0.00081477
3,409.98,1.85867,1.18268,3.04823,1.85233,0.39982,0.15536,0.07617,0.03153,0.38929,0.14643,0.07271,0.03327,2.10941,0.56829,4.45939,2.13578,0.00121504,0.00121504,0.00121504
4,645.356,1.88077,1.01464,3.01463,1.86987,0.34417,0.22162,0.08718,0.03638,0.34417,0.22162,0.088,0.03654,2.19148,0.52877,4.4894,2.19318,0.00121287,0.00121287,0.00121287
5,776.773,1.82358,1.11975,2.88674,1.82838,0.17476,0.23896,0.06985,0.02347,0.17459,0.23837,0.08133,0.02484,2.22233,0.82505,4.29363,2.33272,0.0012005,0.0012005,0.0012005
6,909.951,1.83253,1.03846,2.91942,1.86992,0.42388,0.13352,0.10726,0.03679,0.42388,0.13352,0.10642,0.03987,2.3072,0.93715,3.62883,2.27612,0.00118812,0.00118812,0.00118812
7,2037.66,1.83286,1.19924,2.91372,1.84934,0.11013,0.19774,0.06954,0.02613,0.11013,0.19774,0.06963,0.02696,2.25036,0.64816,3.89842,2.2364,0.00117575,0.00117575,0.00117575
8,2404.81,1.74075,1.11368,2.80869,1.7584,0.13779,0.12328,0.07465,0.03173,0.13779,0.12328,0.07426,0.03189,2.14243,0.6327,3.55161,2.199,0.00116337,0.00116337,0.00116337
9,2540.11,1.79263,0.98775,2.76338,1.81257,0.35329,0.20376,0.07167,0.02912,0.34731,0.1865,0.07043,0.03038,2.38025,0.62891,3.53699,2.25232,0.001151,0.001151,0.001151
10,2724.54,1.71399,0.99428,2.75034,1.76613,0.11178,0.27432,0.09508,0.03929,0.10967,0.26598,0.09582,0.0372,2.08448,0.63387,3.15244,2.05001,0.00113863,0.00113863,0.00113863
11,2910.92,1.73241,1.02142,2.66589,1.7708,0.34039,0.23769,0.0858,0.03681,0.35265,0.21983,0.08439,0.03565,2.10409,0.61081,3.57294,2.14978,0.00112625,0.00112625,0.00112625
12,3097.39,1.65551,1.05522,2.58951,1.71264,0.39979,0.14138,0.0946,0.03698,0.39979,0.14138,0.09451,0.03719,2.18803,0.68206,3.55919,2.20954,0.00111388,0.00111388,0.00111388
13,3283.71,1.66615,1.0603,2.55796,1.7202,0.37234,0.22562,0.09441,0.03891,0.37234,0.22562,0.0938,0.04003,2.16971,0.61742,3.40682,2.16441,0.0011015,0.0011015,0.0011015
14,3470.17,1.71432,1.10652,2.5853,1.72294,0.08536,0.15078,0.06727,0.02636,0.08149,0.19483,0.07028,0.0273,2.1209,0.89465,3.39554,2.093,0.00108913,0.00108913,0.00108913
15,3657.21,1.64101,1.06031,2.46729,1.67867,0.15176,0.25013,0.09899,0.0452,0.15176,0.25013,0.09947,0.04497,1.97339,1.78295,3.3343,1.97108,0.00107675,0.00107675,0.00107675
16,3837.91,1.59976,1.03803,2.48072,1.68778,0.16296,0.25739,0.12017,0.0497,0.15639,0.26573,0.12299,0.04911,2.00284,0.90263,3.16219,2.04521,0.00106437,0.00106437,0.00106437
17,4016.81,1.57989,1.05896,2.41476,1.64898,0.10641,0.3037,0.08058,0.02781,0.10322,0.29536,0.07969,0.02814,2.19973,0.59039,3.24591,2.18472,0.001052,0.001052,0.001052
18,4192.3,1.64042,0.96807,2.40736,1.65144,0.09809,0.20244,0.08043,0.03264,0.10509,0.18929,0.07948,0.03218,2.10015,0.5371,3.19401,2.0082,0.00103962,0.00103962,0.00103962
19,4368.21,1.62432,0.97772,2.39935,1.64442,0.12354,0.22406,0.08788,0.03365,0.11899,0.20739,0.08752,0.03334,2.09688,0.55791,3.26521,2.04055,0.00102725,0.00102725,0.00102725
20,4552.01,1.60541,1.03078,2.36124,1.62358,0.17435,0.24577,0.11001,0.05427,0.16215,0.24917,0.10879,0.05268,1.97267,0.60937,3.45832,1.97636,0.00101488,0.00101488,0.00101488
21,4726.96,1.5667,0.90763,2.31344,1.64827,0.25442,0.16805,0.1233,0.05199,0.25442,0.16805,0.12274,0.04976,2.04112,0.65389,3.17439,1.96659,0.0010025,0.0010025,0.0010025
22,4910.56,1.5451,0.94477,2.31762,1.63256,0.1187,0.30721,0.10795,0.05044,0.1187,0.30721,0.10778,0.05049,2.01576,0.6195,3.10959,2.07509,0.000990125,0.000990125,0.000990125
23,5098.97,1.55855,0.95417,2.23295,1.60059,0.13263,0.22685,0.12033,0.06014,0.13263,0.22685,0.132,0.06066,2.04317,0.57225,3.06793,2.09035,0.00097775,0.00097775,0.00097775
24,5297.32,1.51208,0.98451,2.21231,1.59285,0.16941,0.264,0.12784,0.06108,0.16883,0.26568,0.12678,0.06098,2.06178,0.56985,3.03026,2.0789,0.000965375,0.000965375,0.000965375
25,5496.24,1.48626,0.93357,2.13022,1.55381,0.21764,0.22995,0.1522,0.06762,0.20447,0.22102,0.14279,0.06839,2.06734,0.54647,2.89614,2.04247,0.000953,0.000953,0.000953
26,5679.1,1.52191,1.02333,2.16069,1.57652,0.11314,0.22551,0.09393,0.04341,0.11314,0.22551,0.09421,0.04274,2.02547,0.64773,3.15554,1.96929,0.000940625,0.000940625,0.000940625
27,5882.34,1.48066,0.93477,2.13472,1.57021,0.19832,0.1912,0.13965,0.05812,0.25265,0.17393,0.13838,0.05659,2.05884,0.63404,3.07918,2.06425,0.00092825,0.00092825,0.00092825
28,6083.69,1.45118,0.94738,2.09521,1.55875,0.22489,0.18386,0.14981,0.06485,0.17493,0.17863,0.11771,0.06071,2.0487,0.62016,3.09145,2.01689,0.000915875,0.000915875,0.000915875
29,6285.17,1.41288,0.95619,2.00868,1.51507,0.14785,0.31544,0.12334,0.05415,0.14945,0.30036,0.12118,0.05029,2.12835,0.55757,3.21931,2.10826,0.0009035,0.0009035,0.0009035
30,6472.35,1.4255,0.93653,2.06221,1.55499,0.14154,0.23957,0.10311,0.05565,0.14154,0.23957,0.10373,0.0545,2.0361,0.57856,3.26351,2.01404,0.000891125,0.000891125,0.000891125
31,6656.27,1.40205,0.9449,1.94696,1.50768,0.14041,0.26375,0.10541,0.05106,0.14623,0.27268,0.10706,0.05035,2.04621,0.58398,3.24831,2.03304,0.00087875,0.00087875,0.00087875
